valence,arousal,dominance,liking,familiarity,relevance,emotionCategory
8.97,7.95,7.04,5,4,3.98,Neutral
9,9,8.07,5,5,4.98,Happy
7.01,6,6.5,4,4,3.25,Neutral
1.05,7.1,5.04,1,2,1,Neutral
1,7.95,6.02,2,3,2.5,Neutral
4.42,7.53,6.2,4,4,3.48,Alarmed
1,8.03,7.95,1,4,3.61,Alarmed
6.06,7.01,5.81,4,4,2.32,Neutral
3.07,6.87,5.81,4,4,2.98,Alarmed
1,9,6.83,1,5,3.68,Alarmed
1,8.86,6,1,5,3.42,Sad
4.9,6.06,5.1,5,1,1.05,Neutral
3.03,6.08,5.1,2,5,1.14,Neutral
7.95,5.96,5.02,5,5,1.94,Happy
8.9,8.76,7.99,5,5,3.97,Alarmed
2.07,7.33,6.99,1,2,3.91,Alarmed
4.04,6.04,6.18,3,1,1.19,Alarmed
3.61,5.93,6.95,2,4,1.16,Neutral
8.97,6.77,5.02,5,4,3.03,Happy
6.81,6.83,5,4,4,4.03,Neutral
2.24,5.23,5.06,2,1,1.11,Neutral
2.09,4.9,6.06,2,1,1,Alarmed
4.92,1.95,1.35,1,1,1,Neutral
1.06,1,2.92,1,2,1.99,Sad
1.1,6.87,2.05,1,1,2.32,Sad
1,1.03,1,1,1,1,Sad
1.03,7.01,2.99,1,1,3.21,Alarmed
6.93,6.93,6.02,4,5,1,Neutral
8.45,7.12,7.06,4,3,4.56,Happy
1,6.37,3.86,2,1,1,Alarmed
5,1.05,5.02,1,1,1,Neutral
1,3.46,1.1,1,2,1.08,Sad
1.2,4.96,1.59,3,5,1,Neutral
5.04,1,5,3,1,1.01,Neutral
7.03,9,7.95,5,5,1,Happy
9,4.94,4.85,5,5,2.96,Happy
3.94,6.35,2.69,4,1,1,Alarmed
5,1,4.98,3,1,1,Neutral
3.98,6.99,3.44,3,5,1,Alarmed
3.65,1,1,4,1,2.02,Sad
1,6.72,2.26,2,5,1,Alarmed
3.23,6.85,2.01,3,5,1,Sad
5.04,2.49,7.74,2,2,2.04,Neutral
2.67,6.1,2.49,2,2,1,Alarmed
2.74,6.31,3.26,2,2,1.28,Sad
1.24,2.69,2.82,2,2,1.75,Alarmed
5.04,3.05,7.74,2,2,2.05,Neutral
4.94,3.44,7.66,2,1,1.22,Neutral
4.04,3.9,4.02,3,4,1.99,Alarmed
6.54,2.94,7.51,4,4,1.74,Neutral
5.93,3.21,7.55,4,4,3.48,Neutral
2.15,6.27,6.45,2,2,2.04,Alarmed
5.91,4.17,5.79,3,4,3.03,Neutral
5,5.17,5.35,4,2,1.94,Happy
1.24,1,1.99,1,2,1.94,Sad
7.16,6.93,5.04,4,4,4.08,Happy
1.14,1,1,1,2,3.95,Alarmed
4.96,2.9,3.11,3,1,1.16,Happy
1.16,1.08,1,2,1,1,Alarmed
7.8,8.9,8.97,5,3,4.06,Happy
1.03,8.86,4.98,2,2,2.04,Alarmed
1.03,1.01,1,1,1,1,Alarmed
8.09,7.41,5,4,4,3.98,Happy
1.05,1,1.05,1,1,1,Alarmed
6.08,1.05,3.11,4,4,3.41,Neutral
8.94,1.2,2.99,5,4,2.06,Happy
8.09,7.04,5,4,4,1.97,Neutral
1.97,6.85,6.97,3,2,3.05,Alarmed
1.01,8.99,1.01,2,2,1.57,Alarmed
1,9,1.05,2,2,1.95,Alarmed
5.04,1,5.02,3,1,1,Neutral
1,5,1,3,4,3.05,Alarmed
7.99,5.06,4.07,5,4,3.97,Neutral
7.41,9,9,4,4,4,Happy
1,8.99,1,3,3,2.96,Alarmed
4.98,4.5,5.02,3,2,2.03,Neutral
5.64,5.77,6.33,4,5,3.77,Neutral
3.01,4.9,4.32,3,4,1.64,Neutral
5.06,2.86,3.24,3,2,1.2,Neutral
7.24,4.92,5.06,4,3,2.58,Neutral
5.98,4.02,4.17,4,4,2.78,Neutral
3.55,4.44,3.55,2,3,2.98,Sad
3.53,6.16,5.68,2,2,1.88,Neutral
6.64,7.1,7.33,5,4,2.36,Happy
1.32,2.67,2.74,1,3,1.24,Sad
4.98,6.37,4.54,4,4,3.93,Neutral
5.04,1.05,1.01,1,1,1.16,Neutral
1.08,7.82,7.41,3,3,3.14,Alarmed
1.03,9,8.22,4,4,1,Neutral
1.06,9,8.59,5,5,4,Alarmed
1,8.65,8.53,3,1,1.2,Alarmed
1,8.65,7.33,5,2,1.9,Sad
1.1,7.78,8.22,3,3,2.99,Sad
4.88,5.12,4.9,3,3,3.04,Neutral
1.06,5.89,6.12,4,4,4.29,Happy
2.32,4.17,4.4,4,4,2.04,Alarmed
5.02,1,1.97,2,1,1,Alarmed
2.99,7.03,2.94,2,3,1.53,Alarmed
2.65,3.42,3.28,2,4,1,Sad
3.98,2.96,2.42,3,1,2,Sad
4.96,1,1,1,1,1,Neutral
1.01,8.07,4.96,1,4,1,Alarmed
1.91,4.88,4.83,3,4,1,Alarmed
1,8.63,2.09,1,2,1,Alarmed
2.01,2.01,5.19,2,1,1.01,Sad
5.95,7.93,6.04,4,5,1,Alarmed
8.01,8.22,8.07,5,5,1.03,Happy
5.02,1,1.97,2,1,1,Surprised
2.99,7.03,2.94,2,3,1.53,Alarmed
2.65,3.42,3.28,2,4,1,Sad
3.98,2.96,2.42,3,1,2,Sad
4.96,1,1,1,1,1,Neutral
1.01,8.07,4.96,1,4,1,Alarmed
1.91,4.88,4.83,3,4,1,Alarmed
1,8.63,2.09,1,2,1,Alarmed
2.01,2.01,5.19,2,1,1.01,Sad
5.95,7.93,6.04,4,5,1,Alarmed
8.01,8.22,8.07,5,5,1.03,Happy
4.9,4,5.06,2,2,1.14,Neutral
2.03,7.06,5.23,2,3,1.07,Alarmed
2.11,5.98,5,2,4,1.01,Alarmed
5.06,4.92,5.08,2,1,1,Neutral
4,5.96,5.06,4,3,1,Alarmed
4,5.04,4.9,2,1,1.01,Neutral
2.15,7.03,5.06,2,4,1.05,Sad
1.99,6.81,5.96,2,2,1,Sad
6.93,6.08,4.94,4,5,1.03,Neutral
8.74,7.14,5.95,5,5,3.68,Happy
5.14,5.06,5.08,3,3,1.02,Neutral
4.96,5,4.94,3,3,3.96,Neutral
4.07,6.02,5.06,4,3,4.04,Neutral
7.95,6.95,6.95,4,4,5,Neutral
8.94,6.04,6.91,5,5,4.96,Happy
4.98,6.89,6.06,3,3,1,Neutral
1,1.91,2.03,2,2,1,Neutral
3.96,6.6,3.9,3,3,1.01,Neutral
5,3.05,3.03,2,2,1,Neutral
2.01,1.97,2.05,2,2,1,Sad
3.96,6.95,4.9,3,3,2.46,Neutral
2.01,1.91,1.97,2,2,1.98,Sad
4.98,1.01,1,2,1,1,Neutral
7.01,4.96,3.96,4,2,2.02,Happy
1.03,1.03,1.01,1,1,1,Sad
2.01,7.99,5.98,3,1,1.03,Alarmed
1.03,4.04,1.03,1,3,1.98,Sad
